,date,location,Season,count_all,geography,topography,altitude,precipitation,latitude,min_temp_mean,max_temp_mean,avg_temp,wind_dir_EN,wind_dir_MN,wind_spe_MN,wind_spe_EN,wind_dir_LN,wind_spe_LN,wind_quadrant,count_EN,count_LN,count_MN
26,11/09/2024,Mitzpe_ramon,fall,9,North,Mountain,758,3.805032258,30.660835,24.7,38.96666667,31.83333333,351.3379398,341.0460138,1.2,3.56,311.6629469,1.42,N,1,0,8
27,11/09/2024,Timna,fall,0,South,Valley,123,3.720387097,29.803654,24.7,38.96666667,31.83333333,351.3379398,341.0460138,1.2,3.56,311.6629469,1.42,N,0,0,0
28,12/09/2024,Hatzeva,fall,2,North,Valley,-166,3.749806452,30.818349,23.76666667,39.91666667,31.84166667,357.1675295,17.71919903,2.28,3.53,330.6509206,2.23,N,0,0,2
29,12/09/2024,Mitzpe_ramon,fall,2,North,Mountain,758,3.805032258,30.660835,23.76666667,39.91666667,31.84166667,357.1675295,17.71919903,2.28,3.53,330.6509206,2.23,N,2,0,0
30,12/09/2024,Shita,fall,3,Center,Valley,237,3.728,30.14119,23.76666667,39.91666667,31.84166667,357.1675295,17.71919903,2.28,3.53,330.6509206,2.23,N,1,1,1
31,12/09/2024,Timna,fall,0,South,Valley,123,3.720387097,29.803654,23.76666667,39.91666667,31.84166667,357.1675295,17.71919903,2.28,3.53,330.6509206,2.23,N,0,0,0
32,13/09/2024,Hatzeva,fall,9,North,Valley,-166,3.749806452,30.818349,25.6,39.28333333,32.44166667,341.1866309,340.9148983,2.78,5.17,347.976373,2.54,N,5,2,2
33,13/09/2024,Mitzpe_ramon,fall,7,North,Mountain,758,3.805032258,30.660835,25.6,39.28333333,32.44166667,341.1866309,340.9148983,2.78,5.17,347.976373,2.54,N,3,2,2
34,13/09/2024,Shita,fall,0,Center,Valley,237,3.728,30.14119,25.6,39.28333333,32.44166667,341.1866309,340.9148983,2.78,5.17,347.976373,2.54,N,0,0,0
35,13/09/2024,Timna,fall,3,South,Valley,123,3.720387097,29.803654,25.6,39.28333333,32.44166667,341.1866309,340.9148983,2.78,5.17,347.976373,2.54,N,2,1,0
36,14/09/2024,Hatzeva,fall,15,North,Valley,-166,3.749806452,30.818349,24.38333333,34.66666667,29.525,335.710398,334.3952398,2.78,4.67,278.1915412,1.43,N,1,9,5
37,14/09/2024,Mitzpe_ramon,fall,48,North,Mountain,758,3.805032258,30.660835,24.38333333,34.66666667,29.525,335.710398,334.3952398,2.78,4.67,278.1915412,1.43,N,15,32,1
38,14/09/2024,Shita,fall,0,Center,Valley,237,3.728,30.14119,24.38333333,34.66666667,29.525,335.710398,334.3952398,2.78,4.67,278.1915412,1.43,N,0,0,0
39,14/09/2024,Timna,fall,27,South,Valley,123,3.720387097,29.803654,24.38333333,34.66666667,29.525,335.710398,334.3952398,2.78,4.67,278.1915412,1.43,N,8,5,14
40,15/09/2024,Hatzeva,fall,6,North,Valley,-166,3.749806452,30.818349,22.81666667,35.21666667,29.01666667,331.3883965,293.7768307,1.44,4.25,279.2973875,1.58,N,1,5,0
41,15/09/2024,Mitzpe_ramon,fall,6,North,Mountain,758,3.805032258,30.660835,22.81666667,35.21666667,29.01666667,331.3883965,293.7768307,1.44,4.25,279.2973875,1.58,N,3,3,0
42,15/09/2024,Shita,fall,0,Center,Valley,237,3.728,30.14119,22.81666667,35.21666667,29.01666667,331.3883965,293.7768307,1.44,4.25,279.2973875,1.58,N,0,0,0
43,15/09/2024,Timna,fall,9,South,Valley,123,3.720387097,29.803654,22.81666667,35.21666667,29.01666667,331.3883965,293.7768307,1.44,4.25,279.2973875,1.58,N,0,7,2
44,16/09/2024,Hatzeva,fall,31,North,Valley,-166,3.749806452,30.818349,23.35,35.2,29.275,333.3532981,348.2106387,1.86,4.14,266.7650721,0.8,N,12,4,15
45,16/09/2024,Mitzpe_ramon,fall,14,North,Mountain,758,3.805032258,30.660835,23.35,35.2,29.275,333.3532981,348.2106387,1.86,4.14,266.7650721,0.8,N,6,3,5
46,16/09/2024,Shita,fall,32,Center,Valley,237,3.728,30.14119,23.35,35.2,29.275,333.3532981,348.2106387,1.86,4.14,266.7650721,0.8,N,4,2,26
47,16/09/2024,Timna,fall,2,South,Valley,123,3.720387097,29.803654,23.35,35.2,29.275,333.3532981,348.2106387,1.86,4.14,266.7650721,0.8,N,1,0,1
48,17/09/2024,Hatzeva,fall,30,North,Valley,-166,3.749806452,30.818349,21.93333333,34.48333333,28.20833333,351.4753798,341.5619683,3.06,4.66,323.4311056,1.5,N,19,3,8
49,17/09/2024,Mitzpe_ramon,fall,30,North,Mountain,758,3.805032258,30.660835,21.93333333,34.48333333,28.20833333,351.4753798,341.5619683,3.06,4.66,323.4311056,1.5,N,9,12,9
50,17/09/2024,Shita,fall,31,Center,Valley,237,3.728,30.14119,21.93333333,34.48333333,28.20833333,351.4753798,341.5619683,3.06,4.66,323.4311056,1.5,N,23,0,8
51,17/09/2024,Timna,fall,7,South,Valley,123,3.720387097,29.803654,21.93333333,34.48333333,28.20833333,351.4753798,341.5619683,3.06,4.66,323.4311056,1.5,N,0,6,1
52,18/09/2024,Hatzeva,fall,30,North,Valley,-166,3.749806452,30.818349,21.06666667,33.28333333,27.175,349.9434086,342.7145228,1.64,4.5,275.7718342,1.21,N,1,4,25
53,18/09/2024,Mitzpe_ramon,fall,3,North,Mountain,758,3.805032258,30.660835,21.06666667,33.28333333,27.175,349.9434086,342.7145228,1.64,4.5,275.7718342,1.21,N,2,0,1
54,18/09/2024,Shita,fall,0,Center,Valley,237,3.728,30.14119,21.06666667,33.28333333,27.175,349.9434086,342.7145228,1.64,4.5,275.7718342,1.21,N,0,0,0
55,18/09/2024,Timna,fall,38,South,Valley,123,3.720387097,29.803654,21.06666667,33.28333333,27.175,349.9434086,342.7145228,1.64,4.5,275.7718342,1.21,N,4,7,27
56,19/09/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,20.66666667,34.71666667,27.69166667,342.2220575,261.8915851,1.3,3.45,260.2634606,0.85,N,0,0,0
57,19/09/2024,Mitzpe_ramon,fall,9,North,Mountain,758,3.805032258,30.660835,20.66666667,34.71666667,27.69166667,342.2220575,261.8915851,1.3,3.45,260.2634606,0.85,N,1,1,7
58,19/09/2024,Shita,fall,22,Center,Valley,237,3.728,30.14119,20.66666667,34.71666667,27.69166667,342.2220575,261.8915851,1.3,3.45,260.2634606,0.85,N,3,2,17
59,19/09/2024,Timna,fall,2,South,Valley,123,3.720387097,29.803654,20.66666667,34.71666667,27.69166667,342.2220575,261.8915851,1.3,3.45,260.2634606,0.85,N,0,2,0
60,20/09/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,22.7,38.35,30.525,0.661477853,7.164093169,2.02,2.79,298.3293947,1.73,N,0,0,0
61,20/09/2024,Mitzpe_ramon,fall,17,North,Mountain,758,3.805032258,30.660835,22.7,38.35,30.525,0.661477853,7.164093169,2.02,2.79,298.3293947,1.73,N,5,11,1
62,20/09/2024,Shita,fall,19,Center,Valley,237,3.728,30.14119,22.7,38.35,30.525,0.661477853,7.164093169,2.02,2.79,298.3293947,1.73,N,3,6,10
63,20/09/2024,Timna,fall,11,South,Valley,123,3.720387097,29.803654,22.7,38.35,30.525,0.661477853,7.164093169,2.02,2.79,298.3293947,1.73,N,0,8,3
64,21/09/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,24.63333333,35.68333333,30.15833333,326.3994407,313.2707209,2.24,4.43,259.5782271,1.27,N,0,0,0
65,21/09/2024,Mitzpe_ramon,fall,22,North,Mountain,758,3.805032258,30.660835,24.63333333,35.68333333,30.15833333,326.3994407,313.2707209,2.24,4.43,259.5782271,1.27,N,18,0,4
66,21/09/2024,Shita,fall,0,Center,Valley,237,3.728,30.14119,24.63333333,35.68333333,30.15833333,326.3994407,313.2707209,2.24,4.43,259.5782271,1.27,N,0,0,0
67,21/09/2024,Timna,fall,19,South,Valley,123,3.720387097,29.803654,24.63333333,35.68333333,30.15833333,326.3994407,313.2707209,2.24,4.43,259.5782271,1.27,N,5,2,12
68,22/09/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,21.93333333,33.23333333,27.58333333,334.5580747,323.6455013,2.04,4.26,246.866423,1.07,N,0,0,0
69,22/09/2024,Mitzpe_ramon,fall,6,North,Mountain,758,3.805032258,30.660835,21.93333333,33.23333333,27.58333333,334.5580747,323.6455013,2.04,4.26,246.866423,1.07,N,4,1,1
70,22/09/2024,Shita,fall,3,Center,Valley,237,3.728,30.14119,21.93333333,33.23333333,27.58333333,334.5580747,323.6455013,2.04,4.26,246.866423,1.07,N,2,0,1
71,22/09/2024,Timna,fall,29,South,Valley,123,3.720387097,29.803654,21.93333333,33.23333333,27.58333333,334.5580747,323.6455013,2.04,4.26,246.866423,1.07,N,4,20,5
72,23/09/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,20.45,32.35,26.4,347.1593524,355.6057104,1.8,4.5,333.6226497,1.7,N,0,0,0
73,23/09/2024,Mitzpe_ramon,fall,46,North,Mountain,758,3.805032258,30.660835,20.45,32.35,26.4,347.1593524,355.6057104,1.8,4.5,333.6226497,1.7,N,21,17,8
74,23/09/2024,Timna,fall,12,South,Valley,123,3.720387097,29.803654,20.45,32.35,26.4,347.1593524,355.6057104,1.8,4.5,333.6226497,1.7,N,1,8,3
75,24/09/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,21.1,33.21666667,27.15833333,354.4785826,336.6260958,3.38,4.12,310.2450165,1.95,N,0,0,0
76,24/09/2024,Mitzpe_ramon,fall,33,North,Mountain,758,3.805032258,30.660835,21.1,33.21666667,27.15833333,354.4785826,336.6260958,3.38,4.12,310.2450165,1.95,N,28,1,4
77,24/09/2024,Shita,fall,42,Center,Valley,237,3.728,30.14119,21.1,33.21666667,27.15833333,354.4785826,336.6260958,3.38,4.12,310.2450165,1.95,N,8,15,19
78,24/09/2024,Neot_smadar,fall,64,Center,Mountain,417,3.760129032,30.054879,21.1,33.21666667,27.15833333,354.4785826,336.6260958,3.38,4.12,310.2450165,1.95,N,4,8,52
79,24/09/2024,Timna,fall,79,South,Valley,123,3.720387097,29.803654,21.1,33.21666667,27.15833333,354.4785826,336.6260958,3.38,4.12,310.2450165,1.95,N,28,13,38
80,24/09/2024,Har_Yoash,fall,36,South,Mountain,733,3.711483871,29.582982,21.1,33.21666667,27.15833333,354.4785826,336.6260958,3.38,4.12,310.2450165,1.95,N,4,4,28
81,25/09/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,22.23333333,33.83333333,28.03333333,352.0293857,344.0971906,3,4.46,328.7669328,2.01,N,0,0,0
82,25/09/2024,Mitzpe_ramon,fall,62,North,Mountain,758,3.805032258,30.660835,22.23333333,33.83333333,28.03333333,352.0293857,344.0971906,3,4.46,328.7669328,2.01,N,5,0,57
83,25/09/2024,Shita,fall,4,Center,Valley,237,3.728,30.14119,22.23333333,33.83333333,28.03333333,352.0293857,344.0971906,3,4.46,328.7669328,2.01,N,1,1,2
84,25/09/2024,Timna,fall,23,South,Valley,123,3.720387097,29.803654,22.23333333,33.83333333,28.03333333,352.0293857,344.0971906,3,4.46,328.7669328,2.01,N,1,0,22
85,25/09/2024,Har_Yoash,fall,4,South,Mountain,733,3.711483871,29.582982,22.23333333,33.83333333,28.03333333,352.0293857,344.0971906,3,4.46,328.7669328,2.01,N,1,2,1
86,26/09/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,22.86666667,34.1,28.48333333,355.6411335,324.530104,2.36,3.48,290.2503306,2.11,N,0,0,0
87,26/09/2024,Mitzpe_ramon,fall,14,North,Mountain,758,3.805032258,30.660835,22.86666667,34.1,28.48333333,355.6411335,324.530104,2.36,3.48,290.2503306,2.11,N,10,3,1
88,26/09/2024,Shita,fall,27,Center,Valley,237,3.728,30.14119,22.86666667,34.1,28.48333333,355.6411335,324.530104,2.36,3.48,290.2503306,2.11,N,3,13,11
89,26/09/2024,Timna,fall,3,South,Valley,123,3.720387097,29.803654,22.86666667,34.1,28.48333333,355.6411335,324.530104,2.36,3.48,290.2503306,2.11,N,0,1,2
90,26/09/2024,Har_Yoash,fall,15,South,Mountain,733,3.711483871,29.582982,22.86666667,34.1,28.48333333,355.6411335,324.530104,2.36,3.48,290.2503306,2.11,N,4,4,7
91,27/09/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,22.76666667,35.23333333,29,358.343414,355.7778433,2.18,3.16,298.4066203,1.76,N,0,0,0
92,27/09/2024,Mitzpe_ramon,fall,15,North,Mountain,758,3.805032258,30.660835,22.76666667,35.23333333,29,358.343414,355.7778433,2.18,3.16,298.4066203,1.76,N,10,1,4
93,27/09/2024,Shita,fall,16,Center,Valley,237,3.728,30.14119,22.76666667,35.23333333,29,358.343414,355.7778433,2.18,3.16,298.4066203,1.76,N,1,5,10
94,27/09/2024,Timna,fall,6,South,Valley,123,3.720387097,29.803654,22.76666667,35.23333333,29,358.343414,355.7778433,2.18,3.16,298.4066203,1.76,N,0,0,6
95,27/09/2024,Har_Yoash,fall,26,South,Mountain,733,3.711483871,29.582982,22.76666667,35.23333333,29,358.343414,355.7778433,2.18,3.16,298.4066203,1.76,N,1,5,20
96,28/09/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,22.91666667,35.38333333,29.15,354.8737717,307.8991599,2.98,2.89,316.9787888,2.11,N,0,0,0
97,28/09/2024,Mitzpe_ramon,fall,32,North,Mountain,758,3.805032258,30.660835,22.91666667,35.38333333,29.15,354.8737717,307.8991599,2.98,2.89,316.9787888,2.11,N,20,8,4
98,28/09/2024,Shita,fall,46,Center,Valley,237,3.728,30.14119,22.91666667,35.38333333,29.15,354.8737717,307.8991599,2.98,2.89,316.9787888,2.11,N,26,4,16
99,28/09/2024,Timna,fall,50,South,Valley,123,3.720387097,29.803654,22.91666667,35.38333333,29.15,354.8737717,307.8991599,2.98,2.89,316.9787888,2.11,N,6,40,4
100,28/09/2024,Har_Yoash,fall,5,South,Mountain,733,3.711483871,29.582982,22.91666667,35.38333333,29.15,354.8737717,307.8991599,2.98,2.89,316.9787888,2.11,N,1,0,4
101,29/09/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,21.93333333,33.46666667,27.7,334.9879804,342.506431,2.46,4.54,284.7067849,1.34,N,0,0,0
102,29/09/2024,Mitzpe_ramon,fall,42,North,Mountain,758,3.805032258,30.660835,21.93333333,33.46666667,27.7,334.9879804,342.506431,2.46,4.54,284.7067849,1.34,N,7,31,4
103,29/09/2024,Shita,fall,8,Center,Valley,237,3.728,30.14119,21.93333333,33.46666667,27.7,334.9879804,342.506431,2.46,4.54,284.7067849,1.34,N,1,5,2
104,29/09/2024,Timna,fall,5,South,Valley,123,3.720387097,29.803654,21.93333333,33.46666667,27.7,334.9879804,342.506431,2.46,4.54,284.7067849,1.34,N,1,1,3
105,29/09/2024,Har_Yoash,fall,42,South,Mountain,733,3.711483871,29.582982,21.93333333,33.46666667,27.7,334.9879804,342.506431,2.46,4.54,284.7067849,1.34,N,7,4,31
106,30/09/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,20.13333333,32.98333333,26.55833333,348.1794667,355.3424229,2.04,2.94,276.0599559,1.49,N,0,0,0
107,30/09/2024,Mitzpe_ramon,fall,15,North,Mountain,758,3.805032258,30.660835,20.13333333,32.98333333,26.55833333,348.1794667,355.3424229,2.04,2.94,276.0599559,1.49,N,15,0,0
108,30/09/2024,Shita,fall,1,Center,Valley,237,3.728,30.14119,20.13333333,32.98333333,26.55833333,348.1794667,355.3424229,2.04,2.94,276.0599559,1.49,N,1,0,0
109,30/09/2024,Timna,fall,34,South,Valley,123,3.720387097,29.803654,20.13333333,32.98333333,26.55833333,348.1794667,355.3424229,2.04,2.94,276.0599559,1.49,N,3,4,27
110,30/09/2024,Har_Yoash,fall,15,South,Mountain,733,3.711483871,29.582982,20.13333333,32.98333333,26.55833333,348.1794667,355.3424229,2.04,2.94,276.0599559,1.49,N,4,4,7
111,01/10/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,20.68333333,32.93333333,26.80833333,326.8272943,332.2865565,1.64,3.89,263.4009738,1.11,N,0,0,0
112,01/10/2024,Timna,fall,61,South,Valley,123,3.720387097,29.803654,20.68333333,32.93333333,26.80833333,326.8272943,332.2865565,1.64,3.89,263.4009738,1.11,N,2,0,59
113,01/10/2024,Har_Yoash,fall,27,South,Mountain,733,3.711483871,29.582982,20.68333333,32.93333333,26.80833333,326.8272943,332.2865565,1.64,3.89,263.4009738,1.11,N,8,1,18
114,02/10/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,18.81666667,31.15,24.98333333,350.9147051,344.5251012,2.16,3.55,311.5057374,1.38,N,0,0,0
115,02/10/2024,Timna,fall,0,South,Valley,123,3.720387097,29.803654,18.81666667,31.15,24.98333333,350.9147051,344.5251012,2.16,3.55,311.5057374,1.38,N,0,0,0
116,02/10/2024,Har_Yoash,fall,27,South,Mountain,733,3.711483871,29.582982,18.81666667,31.15,24.98333333,350.9147051,344.5251012,2.16,3.55,311.5057374,1.38,N,17,4,6
117,03/10/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,19.08333333,31.68333333,25.38333333,3.659017769,303.4551781,2.2,2.57,307.177251,1.7,N,0,0,0
118,03/10/2024,Har_Yoash,fall,34,South,Mountain,733,3.711483871,29.582982,19.08333333,31.68333333,25.38333333,3.659017769,303.4551781,2.2,2.57,307.177251,1.7,N,4,9,21
119,04/10/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,19.56666667,32.31666667,25.94166667,357.389967,348.4824869,2.84,3.16,304.8534343,2.05,N,0,0,0
120,04/10/2024,Har_Yoash,fall,29,South,Mountain,733,3.711483871,29.582982,19.56666667,32.31666667,25.94166667,357.389967,348.4824869,2.84,3.16,304.8534343,2.05,N,1,18,10
121,05/10/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,20.71666667,32.35,26.53333333,352.8497997,346.3920953,3.02,3.43,324.2914494,1.66,N,0,0,0
122,05/10/2024,Har_Yoash,fall,10,South,Mountain,733,3.711483871,29.582982,20.71666667,32.35,26.53333333,352.8497997,346.3920953,3.02,3.43,324.2914494,1.66,N,0,7,3
123,06/10/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,22.76666667,32.56666667,27.66666667,346.6653192,344.9173415,3.44,3.83,313.7067704,1.48,N,0,0,0
124,06/10/2024,Har_Yoash,fall,12,South,Mountain,733,3.711483871,29.582982,22.76666667,32.56666667,27.66666667,346.6653192,344.9173415,3.44,3.83,313.7067704,1.48,N,4,8,0
125,07/10/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,21.86666667,32.55,27.20833333,347.0455189,338.3128378,2.6,4.49,284.4455323,1.91,N,0,0,0
126,07/10/2024,Har_Yoash,fall,2,South,Mountain,733,3.711483871,29.582982,21.86666667,32.55,27.20833333,347.0455189,338.3128378,2.6,4.49,284.4455323,1.91,N,0,0,2
127,08/10/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,19.96666667,32.83333333,26.4,344.1873471,336.5848573,2.2,4.28,304.8188046,2.16,N,0,0,0
128,08/10/2024,Har_Yoash,fall,5,South,Mountain,733,3.711483871,29.582982,19.96666667,32.83333333,26.4,344.1873471,336.5848573,2.2,4.28,304.8188046,2.16,N,5,0,0
129,09/10/2024,Hatzeva,fall,0,North,Valley,-166,3.749806452,30.818349,19.95,32.78333333,26.36666667,355.8219187,291.6552811,2.2,3.36,286.2677431,1.9,N,0,0,0
130,09/10/2024,Har_Yoash,fall,22,South,Mountain,733,3.711483871,29.582982,19.95,32.78333333,26.36666667,355.8219187,291.6552811,2.2,3.36,286.2677431,1.9,N,4,6,12
131,10/10/2024,Hatzeva,fall,3,North,Valley,-166,3.749806452,30.818349,19.78333333,32.3,26.04166667,358.9486295,305.7482993,2.16,2.78,270.0505578,1.4,N,0,2,1
132,10/10/2024,Mitzpe_ramon,fall,4,North,Mountain,758,3.805032258,30.660835,19.78333333,32.3,26.04166667,358.9486295,305.7482993,2.16,2.78,270.0505578,1.4,N,3,1,0
133,10/10/2024,Neot_smadar,fall,29,Center,Mountain,417,3.760129032,30.054879,19.78333333,32.3,26.04166667,358.9486295,305.7482993,2.16,2.78,270.0505578,1.4,N,2,11,16
134,10/10/2024,Timna,fall,19,South,Valley,123,3.720387097,29.803654,19.78333333,32.3,26.04166667,358.9486295,305.7482993,2.16,2.78,270.0505578,1.4,N,8,1,10
135,10/10/2024,Har_Yoash,fall,26,South,Mountain,733,3.711483871,29.582982,19.78333333,32.3,26.04166667,358.9486295,305.7482993,2.16,2.78,270.0505578,1.4,N,17,2,7
136,11/10/2024,Hatzeva,fall,2,North,Valley,-166,3.749806452,30.818349,19.68333333,31.51666667,25.6,357.8632093,311.9676207,1.64,2.22,279.9846311,1.08,N,0,0,2
137,11/10/2024,Mitzpe_ramon,fall,40,North,Mountain,758,3.805032258,30.660835,19.68333333,31.51666667,25.6,357.8632093,311.9676207,1.64,2.22,279.9846311,1.08,N,1,36,3
138,11/10/2024,Neot_smadar,fall,23,Center,Mountain,417,3.760129032,30.054879,19.68333333,31.51666667,25.6,357.8632093,311.9676207,1.64,2.22,279.9846311,1.08,N,7,5,11
139,11/10/2024,Timna,fall,5,South,Valley,123,3.720387097,29.803654,19.68333333,31.51666667,25.6,357.8632093,311.9676207,1.64,2.22,279.9846311,1.08,N,4,0,1
140,11/10/2024,Har_Yoash,fall,4,South,Mountain,733,3.711483871,29.582982,19.68333333,31.51666667,25.6,357.8632093,311.9676207,1.64,2.22,279.9846311,1.08,N,3,0,1
141,12/10/2024,Hatzeva,fall,25,North,Valley,-166,3.749806452,30.818349,19.18333333,32.51666667,25.85,357.6452154,344.2724322,2.12,2.6,265.0188637,1.38,N,2,6,17
142,12/10/2024,Mitzpe_ramon,fall,16,North,Mountain,758,3.805032258,30.660835,19.18333333,32.51666667,25.85,357.6452154,344.2724322,2.12,2.6,265.0188637,1.38,N,1,3,12
143,12/10/2024,Neot_smadar,fall,19,Center,Mountain,417,3.760129032,30.054879,19.18333333,32.51666667,25.85,357.6452154,344.2724322,2.12,2.6,265.0188637,1.38,N,5,9,5
144,12/10/2024,Timna,fall,9,South,Valley,123,3.720387097,29.803654,19.18333333,32.51666667,25.85,357.6452154,344.2724322,2.12,2.6,265.0188637,1.38,N,0,2,7
